movie_title,budget_2017
Avatar ,269901349.4648674
Pirates of the Caribbean: At World's End ,353490611.4588349
Spectre ,252532640.74126074
The Dark Knight Rises ,266053051.1668358
Star Wars: Episode VII - The Force Awakens             ,nan
John Carter ,280632758.3707784
Spider-Man 3 ,304001925.854598
Tangled ,291304745.91790026
Avengers: Age of Ultron ,257686368.1033273
Harry Potter and the Half-Blood Prince ,284706064.836358
Batman v Superman: Dawn of Justice ,254506378.2584581
Superman Returns ,253297788.04886103
Quantum of Solace ,226955177.74343124
Pirates of the Caribbean: Dead Man's Chest ,272689006.27269727
The Lone Ranger ,225504285.71428573
Man of Steel ,235992857.14285716
The Chronicles of Narnia: Prince Caspian ,255324574.96136013
The Avengers ,234126685.0268155
Pirates of the Caribbean: On Stranger Tides ,271523668.6390532
Men in Black 3 ,239447746.0501522
The Hobbit: The Battle of the Five Armies ,258012369.9746978
The Amazing Spider-Man ,244768807.07348895
Robin Hood ,224080573.7830002
The Hobbit: The Desolation of Smaug ,235992857.14285716
The Golden Compass ,212094366.8753009
King Kong ,258952802.8624979
Titanic ,304394693.2006634
Captain America: Civil War ,254506378.2584581
Battleship ,222420350.77547473
Jurassic World ,154611820.86199638
Skyfall ,212842440.93346864
Spider-Man 2 ,258703312.19168428
Iron Man 3 ,209771428.5714286
Alice in Wonderland ,224080573.7830002
X-Men: The Last Stand ,254509739.1878508
Monsters University ,209771428.5714286
Transformers: Revenge of the Fallen ,227764851.8690864
Transformers: Age of Extinction ,216730390.77874613
Oz the Great and Powerful ,225504285.71428573
The Amazing Spider-Man 2 ,206409895.97975823
TRON: Legacy ,190468487.71555015
Cars 2 ,217218934.9112426
Green Lantern ,217218934.9112426
Toy Story 3 ,224080573.7830002
Terminator Salvation ,227764851.8690864
Furious 7 ,195841639.75852874
World War Z ,199282857.14285716
X-Men: Days of Future Past ,206409895.97975823
Star Trek Into Darkness ,199282857.14285716
Jack the Giant Slayer ,204527142.85714287
The Great Gatsby ,110130000.00000001
Prince of Persia: The Sands of Time ,224080573.7830002
Pacific Rim ,199282857.14285716
Transformers: Dark of the Moon ,211788461.53846154
Indiana Jones and the Kingdom of the Crystal Skull ,209933539.4126739
The Good Dinosaur ,nan
Brave ,196879257.86345848
Star Trek Beyond ,188334719.911259
WALL·E ,204259659.9690881
Rush Hour 3 ,164962285.34745628
2012 ,227764851.8690864
A Christmas Carol ,227764851.8690864
Jupiter Ascending ,181411203.1447424
The Legend of Tarzan ,183244592.34608984
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",225176350.31521556
X-Men: Apocalypse ,181208541.3200222
The Dark Knight ,209933539.4126739
Up ,199294245.3854506
Monsters vs. Aliens ,199294245.3854506
Iron Man ,158868624.42040187
Hugo ,184636094.6745562
Wild Wild West ,249328805.43347982
The Mummy: Tomb of the Dragon Emperor ,164542503.86398765
Suicide Squad ,178154464.78092068
Evan Almighty ,206202856.68432033
Edge of Tomorrow ,183704807.42198482
Waterworld ,280596200.0436777
G.I. Joe: The Rise of Cobra ,199294245.3854506
Inside Out ,180380457.6723291
The Jungle Book ,178154464.78092068
Iron Man 2 ,224080573.7830002
Snow White and the Huntsman ,180916074.79344836
Maleficent ,185768906.3817824
Dawn of the Planet of the Apes ,175448411.5827945
The Lovers ,nan
47 Ronin ,183550000.0
Captain America: The Winter Soldier ,175448411.5827945
Shrek Forever After ,184866473.37097517
Tomorrowland ,195841639.75852874
Big Hero 6 ,170288164.18330052
Wreck-It Ralph ,175595013.77011162
The Polar Express ,213430232.55813953
Independence Day: Resurgence ,167974209.65058237
How to Train Your Dragon ,184866473.37097517
Terminator 3: Rise of the Machines ,265629522.43125907
Guardians of the Galaxy ,175448411.5827945
Interstellar ,170288164.18330052
Inception ,179264459.02640015
Godzilla Resurgence ,nan
The Hobbit: An Unexpected Journey ,191558196.84012178
The Fast and the Furious ,52433001.3155422
The Curious Case of Benjamin Button ,170216383.30757344
X-Men: First Class ,173775147.9289941
The Hunger Games: Mockingjay - Part 2 ,164919275.58612946
The Sorcerer's Apprentice ,168060430.33725014
Poseidon ,193912182.23836252
Alice Through the Looking Glass ,173064337.21575153
Shrek the Third ,188528326.1113786
Warcraft ,162884082.0854132
Terminator Genisys ,159765548.22406292
The Chronicles of Narnia: The Voyage of the Dawn Treader ,173662444.68182516
Pearl Harbor ,193174215.37305018
Transformers ,176745305.72941744
Alexander ,200495066.94855532
Harry Potter and the Order of the Phoenix ,176745305.72941744
Harry Potter and the Goblet of Fire ,187646958.59601295
Hancock ,170216383.30757344
I Am Legend ,176745305.72941744
Charlie and the Chocolate Factory ,187646958.59601295
